table	file	workbook_sheet	rows	columns	purpose	interpretive_caveat
Table S1 primary core datasets	Table_S1_primary_core_datasets.tsv	S1_dataset_frame	10	10	Primary-core transcriptomic datasets and their analytical roles.	Discovery resources are heterogeneous; within-dataset ranks are used rather than pooled expression.
Table S2 candidate tiers	Table_S2_candidate_tiers.tsv	S2_candidate_tiers	66	22	Candidate tier assignments, ortholog status, branch support and rank-priority fields.	Tiers summarize discovery evidence and are not independent validation.
Table S3 species screen support	Table_S3_species_screen_support.tsv	S3_species_screen	105	14	Mouse- and human-bridge candidate support separated by screen and branch.	Human rows are bridge evidence; the main discovery interpretation is mouse-first.
Table S4 leave one dataset out	Table_S4_leave_one_dataset_out.tsv	S4_leave_one_out	300	9	Candidate leave-one-dataset-out results with dataset-level medians.	This sensitivity analysis uses a preselected candidate set and is not independent validation.
Table S5 independent dataset scores	Table_S5_independent_dataset_scores.tsv	S5_dataset_scores	7	10	One configuration-delta summary per independent dataset.	Datasets, not nested contrasts, are the inferential units.
Table S6 module inference	Table_S6_module_inference.tsv	S6_module_tests	6	13	Five-module summaries and the exact downstream-versus-upstream comparison.	The module comparison is directional and descriptive (exact one-sided p=0.10).
Table S7 Allen population coverage	Table_S7_Allen_population_coverage.tsv	S7_Allen_coverage	9	4	Allen common-matrix population coverage after the minimum-cell filter.	Libraries are independent units; cell counts describe coverage only.
Table S8 Allen candidate contrasts	Table_S8_Allen_candidate_contrasts.tsv	S8_Allen_candidates	15	44	Allen candidate contrasts against Purkinje, CA1 and CA3, with expression across all nine populations.	Positive values indicate target-minus-comparator expression. CA1-only and CA3-only fields test reference-weighting sensitivity; the population profile quantifies non-exclusivity.
Table S9 Allen module contrasts	Table_S9_Allen_module_contrasts.tsv	S9_Allen_modules	5	29	Allen branch-local contrasts for the five curated modules.	Module effects are heterogeneous and do not establish uniform adult convergence.
Table S10 Allen pair similarity	Table_S10_Allen_pair_similarity.tsv	S10_Allen_similarity	55	12	Direct pairwise module similarities with library-and-gene bootstrap intervals.	The adult cerebellar-versus-dentate target pair does not show downstream-over-upstream similarity.
Table S11 Allen matched null	Table_S11_Allen_matched_null.tsv	S11_Allen_null	2	15	Expression- and detection-matched null analysis for the preselected candidate sets.	This tests generalization of a direction selected in discovery, not blind validation or developmental causality.
Table S12 Allen cross region	Table_S12_Allen_cross_region.tsv	S12_cross_region	6	31	Allen cross-region transfer, contrast concordance and adult-state sensitivity.	Positive ranking did not exceed both configuration nulls; the immature group is an adult cell state.
