pathway_id	pathway_label	pathway_family	hypothesis_role	gene	canonical_gene	gene_role	gene_order
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFB2	TGFB2	ligand	1
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFB1	TGFB1	ligand	2
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFB3	TGFB3	ligand	3
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFBR1	TGFBR1	receptor	4
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFBR2	TGFBR2	receptor	5
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFBR3	TGFBR3	receptor	6
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SMAD2	SMAD2	effector	7
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SMAD3	SMAD3	effector	8
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SMAD4	SMAD4	effector	9
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SMAD7	SMAD7	feedback	10
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	TGFBI	TGFBI	response	11
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	SERPINE1	SERPINE1	response	12
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	ID1	ID1	response	13
tgf_beta_smad	TGF-beta/SMAD	differentiation_stop	historical TGF-beta2-associated differentiation/stop signaling	ID2	ID2	response	14
